,object_id,name,email,creation_source,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id,year,month,time,user_type
0,1,Clausen August,augustcclausen@yahoo.com,GUEST_INVITE,1398138810.0,1,0,11,10803.0,2014,4,3.53,0
1,2,Poole Matthew,matthewpoole@gustr.com,ORG_INVITE,1396237504.0,0,0,1,316.0,2013,11,3.45,0
2,3,Bottrill Mitchell,mitchellbottrill@gustr.com,ORG_INVITE,1363734892.0,0,0,94,1525.0,2013,3,23.14,0
3,4,Clausen Nicklas,nicklassclausen@yahoo.com,GUEST_INVITE,1369210168.0,0,0,1,5151.0,2013,5,8.09,0
4,5,Raw Grace,graceraw@yahoo.com,GUEST_INVITE,1358849660.0,0,0,193,5240.0,2013,1,10.14,0
5,6,Cunha Eduardo,eduardopereiracunha@yahoo.com,GUEST_INVITE,1387424226.0,0,0,197,11241.0,2013,12,3.37,0
6,7,Sewell Tyler,tylersewell@jourrapide.com,SIGNUP,1356009872.0,0,1,37,0.0,2012,12,13.24,0
7,8,Hamilton Danielle,daniellehamilton@yahoo.com,PERSONAL_PROJECTS,0.0,1,1,74,0.0,2013,7,5.34,0
8,9,Amsel Paul,paulamsel@hotmail.com,PERSONAL_PROJECTS,0.0,0,0,302,0.0,2013,11,4.04,0
9,10,Santos Carla,carlaferreirasantos@gustr.com,ORG_INVITE,1401833283.0,1,1,318,4143.0,2013,1,22.08,1
65,11,Paulsen Malthe,maltheapaulsen@gustr.com,SIGNUP,1388116554.0,0,0,69,0.0,2013,12,3.55,0
66,12,Mathiesen L�rke,laerkelmathiesen@cuvox.de,ORG_INVITE,0.0,0,0,130,9270.0,2014,4,23.48,0
67,13,Fry Alexander,alexanderdfry@cuvox.de,ORG_INVITE,1396196378.0,0,0,254,11204.0,2014,3,16.19,0
68,14,Rivera Bret,bretkrivera@gmail.com,SIGNUP,1350058473.0,0,0,0,0.0,2012,10,16.14,0
69,15,Theiss Ralf,ralftheiss@hotmail.com,PERSONAL_PROJECTS,0.0,0,0,175,0.0,2013,7,21.33,0
70,16,Engel Ren�,reneengel@hotmail.com,PERSONAL_PROJECTS,0.0,0,0,211,0.0,2013,2,10.09,0
71,17,Reynolds Anthony,anthonyreynolds@jourrapide.com,GUEST_INVITE,1397313578.0,1,0,175,1600.0,2014,4,14.39,0
72,18,Gregersen Celina,celinaagregersen@jourrapide.com,GUEST_INVITE,0.0,0,0,2,3153.0,2013,8,0.26,0
73,19,Collins Arlene,arlenercollins@gmail.com,SIGNUP,1369925796.0,1,0,0,0.0,2013,5,14.56,0
74,20,Helms Mikayla,lqyvjilf@uhzdq.com,SIGNUP,1401363998.0,0,0,58,0.0,2014,3,11.46,1
75,21,Hunter Alfie,alfiehunter@gmail.com,PERSONAL_PROJECTS,1358857662.0,0,0,54,0.0,2013,1,12.27,0
76,22,Myers Jordan,jordanmyers@gmail.com,ORG_INVITE,1392012046.0,0,0,7,2994.0,2014,2,6.0,0
77,23,Souza Alice,alicearaujosouza@gustr.com,ORG_INVITE,1345278627.0,1,0,6,23.0,2012,8,8.3,0
78,24,Woodruff James,jamestwoodruff@cuvox.de,SIGNUP,1378765203.0,1,0,123,0.0,2013,9,22.2,0
79,25,Stone Elise,elisestone@jourrapide.com,GUEST_INVITE,1393373473.0,1,0,81,6312.0,2014,2,0.11,0
80,26,Wexler Florian,florianwexler@jourrapide.com,ORG_INVITE,0.0,0,0,56,11857.0,2013,7,0.53,0
81,27,Santos Lu�s,luispintosantos@gmail.com,ORG_INVITE,1389807311.0,0,0,134,4189.0,2014,1,17.35,0
82,28,Weissmuller Marko,markoweissmuller@jourrapide.com,SIGNUP,1360872025.0,0,0,6,0.0,2013,2,20.0,0
83,29,Fernandes Evelyn,evelynsousafernandes@jourrapide.com,SIGNUP,1379383721.0,0,0,92,0.0,2013,9,2.08,0
84,30,Egger Leah,leahegger@jourrapide.com,GUEST_INVITE,1370306665.0,0,0,251,4835.0,2013,6,0.44,0
85,31,Moffitt Lily,lilymoffitt@jourrapide.com,SIGNUP,1390540902.0,0,0,283,0.0,2014,1,5.21,0
86,32,Perez Timothy,timothyjperez@yahoo.com,PERSONAL_PROJECTS,0.0,1,1,98,0.0,2013,4,16.21,0
87,33,Araujo Jos�,josemartinsaraujo@cuvox.de,GUEST_INVITE,1401517749.0,0,0,401,79.0,2014,3,6.29,0
88,34,Holm Sara,saramholm@hotmail.com,ORG_INVITE,0.0,0,0,33,3721.0,2014,2,20.55,0
89,35,Krueger Dieter,dieterkrueger@gustr.com,PERSONAL_PROJECTS,0.0,0,0,59,0.0,2013,8,10.55,0
90,36,Andresen Peter,petertandresen@cuvox.de,GUEST_INVITE,1375780095.0,1,0,109,6805.0,2013,8,9.08,0
91,37,Carr-Glyn Ella,ellacarr-glyn@yahoo.com,SIGNUP,1348670243.0,0,0,276,0.0,2012,9,14.37,0
